Index,product,category,sale_price,market_price,type,rating
1,Pro Garlic Oil - Vegetarian Capsule 500 mg Model,Beauty & Hygiene, 220.00, 220.00,Hair Oil & Serum,4.1
2,Fusion Water Bottle - Orange Premium Pack,"Kitchen, Garden & Pets", 180.00, 180.00,Water & Fridge Bottles,2.3
3,Amul Butter 100g (Carton),Groceries, 58.00, 60.00,Dairy & Bakery,3.6
4,Amul Butter 500g (Carton),Groceries, 285.00, 295.00,Dairy & Bakery,3.6
5,"Essential Brass Angle Deep - Plain, No.2 Set",Cleaning & Household, 119.00, 250.00,Lamp & Lamp Oil,3.4
6,Signature Cereal Flip Lid Container/Storage Jar - Assorted Colour Premium Pack,Cleaning & Household, 149.00, 176.00,"Laundry, Storage Baskets",3.7
7,Essential Creme Soft Soap - For Hands & Body Bundle,Beauty & Hygiene, 162.00, 162.00,Bathing Bars & Soaps,4.4
8,Fusion Germ - Removal Multipurpose Wipes Range,Cleaning & Household, 169.00, 199.00,Disinfectant Spray & Cleaners,3.3
9,"VLITE Food Wrapping Butter Paper Roll- (Medium Roll, 280mm x 40mtr)",Groceries, 139.00, 430.00,Food Wrappers,3.3
10,Signature Multani Mati Edition,Beauty & Hygiene, 58.00, 58.00,Face Care,3.6
11,Home One Aluminum Foil 9 m,Groceries, 65.00, 150.00,Food Wrappers,3.5
12,Pink Delight Pure & Natural Jaggery | Organic Gur| Purest Form Of Gur| Brown Gur| 900g  ,Groceries, 249.00, 400.00,Cooking Essentials,3.6
13,Fusion Hand Sanitizer - 70% Alcohol Base Range,Beauty & Hygiene, 250.00, 250.00,Hand Wash & Sanitizers,4.0
14,Max Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner Set,Beauty & Hygiene," 1,098.00"," 1,098.00",Shampoo & Conditioner,3.5
15,"Signature Scrub Pad - Anti- Bacterial, Regular Premium Pack",Cleaning & Household, 20.00, 20.00,"Utensil Scrub-Pad, Glove",4.3
16,Good Life Popcorn Maize 500 g,Groceries, 81.00, 95.00,Millets and Grains,3.7
17,Essential Wheat Grass Powder - Raw Selection,Gourmet & World Food, 261.00, 290.00,Flours & Pre-Mixes,4.0
18,Pro Butter Cookies Gold Collection Line,Gourmet & World Food, 600.00, 600.00,"Luxury Chocolates, Gifts",2.2
19,"Expert Face Wash - Oil Control, Active Edition",Beauty & Hygiene, 110.00, 110.00,Face Care,5.0
20,Advanced Mold & Mildew Remover with Bleach Model,Cleaning & Household, 350.00, 350.00,Floor & Other Cleaners,3.8
21,Good Life Popcorn Jawar 1kg,Groceries, 73.00, 80.00,Millets and Grains,3.8
22,Knorr Sweet Corn Veg Instant Cup-a-Soup 9.5 g,Groceries, 10.00, 10.00,Instant Food Products,3.6
23,Expert Just Spray - Mosquito Repellent Room Spray Selection,Cleaning & Household, 200.00, 200.00,Mosquito Repellent,4.2
24,Fusion Dove Plastic Soap Case - Assorted Colour Set,Cleaning & Household, 49.00, 59.00,Soap Cases & Dispensers,4.0
25,New Generation Smooth Skin Oil - For Dry Skin Edition,Beauty & Hygiene, 324.00, 360.00,Aromatherapy,5.0
26,Signature Salted Pumpkin Edition,Gourmet & World Food, 180.00, 180.00,Roasted Seeds & Nuts,4.9
27,Act II Golden Sizzle Instant Popcorn 30g,Groceries, 10.00, 10.00,Instant Food Products,4.3
28,Ultimate Flax Seeds - Roasted Premium Pack,Gourmet & World Food, 120.00, 120.00,Roasted Seeds & Nuts,4.3
29,Artisan Organic Tofu - Soy Paneer Style,Gourmet & World Food, 85.14, 90.00,Tofu,3.9
30,Signature Ceramic Barrel Brush - Colour May Vary Collection,Beauty & Hygiene, 525.00, 700.00,Tools & Accessories,4.2
31,Artisan Instant Noodles - Chicken Satay Flavor Line,Gourmet & World Food, 45.00, 50.00,Imported Noodles,4.1
32,Ultimate Chia Seeds Edition,"Foodgrains, Oil & Masala", 120.00, 120.00,Other Dry Fruits,3.9
33,New Generation Cleanse Green Tea - Whole Leaf Loose Tea Style,Gourmet & World Food, 75.00, 75.00,Gourmet Tea & Tea Bags,3.9
34,Max Veggie Cutter Model,"Kitchen, Garden & Pets", 195.00, 195.00,Choppers & Graters,5.0
35,Milky Mist Paneer 200g (Pack),Groceries, 69.00, 125.00,Dairy & Bakery,3.6
36,Amul Cheese Cubes 1kg (Carton),Groceries, 567.00, 610.00,Dairy & Bakery,3.8
37,Expert Insulated Hot Fresh Casserole For Roti/Chapati - White Selection,"Kitchen, Garden & Pets", 659.00, 895.00,Casserole,3.3
38,New Generation Granola - Happy Berries Model,Snacks & Branded Foods, 245.00, 265.00,Granola & Cereal Bars,3.5
39,Advanced Flaxseed - Pesticide Free Line,"Foodgrains, Oil & Masala", 53.90, 55.00,Other Dry Fruits,4.0
40,Ching's Secret Schezwan Chutney 600 g,Groceries, 125.00, 180.00,Pickles & Chutneys,3.6
41,Ultimate Paratha Puff Series,Snacks & Branded Foods, 90.00, 110.00,Frozen Veg Snacks,4.3
42,Ultimate Lip Butter - Rose Set,Beauty & Hygiene, 169.15, 199.00,Lip Care,1.5
43,Ultimate Fruit Power - Masala Sugarcane Series,Beverages, 19.00, 20.00,Juices,2.9
44,Expert Chocobakes Choc Filled Cookies Style,"Bakery, Cakes & Dairy", 102.00, 120.00,"Bakery Biscuits, Cookies",4.2
45,Pro Amber - Deodorant Body Spray Bundle,Beauty & Hygiene, 211.65, 249.00,Men's Deodorants,3.4
46,Max Green Tea - Tulsi Loose Leaf Bundle,Beverages, 225.00, 225.00,Green Tea,3.7
